,Value
Sequence Recovery Accuracy,0.34553179824561403
Mean Reward,1.3870422840118408
Positive Reward Proportion,1.0
Mean Reward (ft),0.6696563959121704
Positive Reward Proportion (ft),1.0
Median Reward,1.3976755142211914
Median Reward (ft),0.6810308694839478
Median gen_true RMSD,0.8702690601348877
Mean gen_true RMSD,0.8918820735998452
Good RMSD Proportion,1.0
Success Rate,1.0
