Iteration,Mask Proportion,Reward Average
1,1.0,0.8123783469200134
2,0.9786184210526316,0.8725315108895302
3,0.9590186403508772,0.8697898387908936
4,0.9372258771929824,0.8843042179942131
5,0.9177631578947367,0.8795323148369789
6,0.8962445175438596,0.8808583468198776
7,0.873766447368421,0.9060041531920433
8,0.8543037280701753,0.8999577537178993
9,0.8336074561403508,0.8832998052239418
10,0.8118146929824561,0.8768396973609924
11,0.7876918859649124,0.8940175473690033
12,0.7637061403508771,0.9284900948405266
13,0.744654605263158,0.9524949193000793
14,0.7208059210526316,0.9763668775558472
15,0.6998355263157895,1.0040423572063446
16,0.679002192982456,1.044437825679779
17,0.660498903508772,1.0444683954119682
18,0.6388432017543859,1.0805590599775314
19,0.6186951754385965,1.0848985984921455
20,0.5978618421052632,1.0911455675959587
21,0.5777138157894737,1.120762661099434
22,0.5561951754385964,1.1372012943029404
23,0.5353618421052632,1.1502668485045433
24,0.5165844298245614,1.1475888714194298
25,0.49643640350877194,1.176153987646103
26,0.4751918859649123,1.1821847930550575
27,0.4539473684210526,1.1714418083429337
28,0.4335252192982455,1.1849460154771805
29,0.412828947368421,1.1902936100959778
30,0.3929550438596491,1.1871076673269272
31,0.3730811403508772,1.1855237185955048
32,0.3516995614035087,1.1759343147277832
33,0.3296326754385964,1.1846302896738052
34,0.30921052631578944,1.1995350271463394
35,0.2905701754385965,1.193333849310875
36,0.26864035087719296,1.1964135020971298
37,0.24904057017543857,1.2037461400032043
38,0.23067434210526316,1.210579127073288
39,0.21121162280701755,1.2169141620397568
40,0.19325657894736842,1.208163857460022
41,0.1732456140350877,1.2113000601530075
42,0.15405701754385964,1.2143426537513733
43,0.13555372807017543,1.210698425769806
44,0.11430921052631578,1.2021347880363464
45,0.09566885964912279,1.20122392475605
46,0.07812499999999999,1.1982404440641403
47,0.05345394736842105,1.2026438564062119
48,0.0346765350877193,1.2077679187059402
49,0.018914473684210526,1.209345519542694
