Iteration,Mask Proportion,Reward Average
1,1.0,0.6850420236587524
2,0.9729989035087719,0.7574952021241188
3,0.9431195175438598,0.777760237455368
4,0.9141995614035088,0.7871710062026978
5,0.8885690789473684,0.7942210137844086
6,0.8608826754385965,0.7975481599569321
7,0.8355263157894735,0.8009994328022003
8,0.8129111842105262,0.8055895939469337
9,0.7907072368421053,0.8089788854122162
10,0.7735745614035087,0.813703253865242
11,0.7541118421052633,0.814513772726059
12,0.7354714912280701,0.8156252205371857
13,0.7213541666666666,0.8190802335739136
14,0.7038103070175439,0.8209862560033798
15,0.6883223684210525,0.82239680737257
16,0.6717379385964912,0.8231550604104996
17,0.6566611842105263,0.8242688328027725
18,0.6444627192982456,0.8261028006672859
19,0.6318530701754386,0.8272854387760162
20,0.6175986842105262,0.828376792371273
21,0.6021107456140352,0.8289748057723045
22,0.5862116228070174,0.8292132019996643
23,0.5726425438596491,0.8298869282007217
24,0.5583881578947368,0.831965297460556
25,0.5455043859649122,0.8327862173318863
26,0.530016447368421,0.8345758765935898
27,0.5153508771929824,0.8356514275074005
28,0.502467105263158,0.8360240533947945
29,0.48985745614035087,0.8366191983222961
30,0.47574013157894735,0.8370507955551147
31,0.4595668859649122,0.8370507955551147
32,0.4453125,0.8379476293921471
33,0.43146929824561403,0.8393908888101578
34,0.4177631578947368,0.8393908888101578
35,0.4055646929824561,0.8393908888101578
36,0.3892543859649123,0.8398191854357719
37,0.37075109649122806,0.8400935977697372
38,0.3516995614035088,0.8400935977697372
39,0.33415570175438597,0.8411403447389603
40,0.31565241228070173,0.8411720469594002
41,0.29468201754385964,0.841699905693531
42,0.27247807017543857,0.8420903161168098
43,0.25370065789473684,0.8423865735530853
44,0.22875548245614033,0.842444434762001
45,0.2024396929824561,0.843587726354599
46,0.16748903508771928,0.8440976291894913
47,0.13294956140350875,0.8452062830328941
48,0.08703399122807018,0.84613136947155
49,0.0424890350877193,0.84613136947155
