,Value
Sequence Recovery Accuracy,0.3392269736842105
Mean Reward,2.5656890869140625
Positive Reward Proportion,1.0
Mean Reward (ft),0.6355975866317749
Positive Reward Proportion (ft),1.0
Median Reward,2.6028168201446533
Median Reward (ft),0.6301760673522949
Median gen_true RMSD,1.0512389540672302
Mean gen_true RMSD,1.013984733261168
Good RMSD Proportion,0.9921875
Success Rate,0.9921875
