Iteration,Mask Proportion,Reward Average
1,1.0,0.8123779892921448
2,0.9824561403508771,0.9271942973136902
3,0.9385964912280702,1.131834864616394
4,0.9385964912280702,1.131834864616394
5,0.9298245614035088,1.1431759595870972
6,0.9122807017543859,1.2040183544158936
7,0.8859649122807017,1.395640254020691
8,0.8508771929824561,1.2220332622528076
9,0.8333333333333333,1.1033625602722168
10,0.8245614035087718,1.1017518043518066
11,0.7894736842105263,1.205718994140625
12,0.763157894736842,1.240967035293579
13,0.7456140350877193,1.3257752656936646
14,0.7456140350877193,1.3257752656936646
15,0.7192982456140351,1.3732566833496094
16,0.6929824561403508,1.3309129476547241
17,0.6842105263157895,1.3309129476547241
18,0.6578947368421053,1.5927246809005737
19,0.6491228070175439,1.5927246809005737
20,0.6228070175438596,1.8994908332824707
21,0.6140350877192982,1.9093413352966309
22,0.6052631578947368,1.9093413352966309
23,0.5789473684210527,2.042327404022217
24,0.5350877192982456,2.1363837718963623
25,0.5350877192982456,2.1363837718963623
26,0.5263157894736842,2.1363837718963623
27,0.5175438596491229,2.1363837718963623
28,0.5,2.1044936180114746
29,0.43859649122807015,2.065044403076172
30,0.40350877192982454,2.0692853927612305
31,0.35964912280701755,2.1635820865631104
32,0.35964912280701755,2.1635820865631104
33,0.3508771929824561,2.1635820865631104
34,0.3157894736842105,2.1635820865631104
35,0.27192982456140347,2.246202230453491
36,0.2631578947368421,2.2833032608032227
37,0.2631578947368421,2.2833032608032227
38,0.2543859649122807,2.2833032608032227
39,0.23684210526315788,2.2833032608032227
40,0.22807017543859648,2.2833032608032227
41,0.21052631578947367,2.2833032608032227
42,0.19298245614035087,2.2833032608032227
43,0.14912280701754385,2.2833032608032227
44,0.11403508771929824,2.2113473415374756
45,0.07894736842105263,2.2113473415374756
46,0.05263157894736842,2.2113473415374756
47,0.043859649122807015,2.2113473415374756
48,0.02631578947368421,2.2113473415374756
49,0.008771929824561403,2.2113473415374756
