Iteration,Mask Proportion,Reward Average,DDG Train Average,DDG Eval Average,ProtGPT Average
1,1.0,-143.56893920898438,0.24166008830070496,0.6693868041038513,-143.56893920898438
2,0.9814967105263157,-140.3173599243164,0.29793581366539,0.8699081465601921,-140.3173599243164
3,0.95984100877193,-138.1557903289795,0.309870395809412,0.9133143872022629,-138.1557903289795
4,0.9388706140350878,-135.96371841430664,0.31738661974668503,0.8377943634986877,-135.96371841430664
5,0.919407894736842,-134.3178424835205,0.3099186606705189,0.7177506536245346,-134.3178424835205
6,0.8972039473684211,-131.7392234802246,0.33394909277558327,0.6270197257399559,-131.7392234802246
7,0.8777412280701754,-130.62708282470703,0.32633276656270027,0.5883056595921516,-130.62708282470703
8,0.8564967105263157,-129.08367729187012,0.32946373894810677,0.4620372261852026,-129.08367729187012
9,0.838404605263158,-127.71634006500244,0.3348572812974453,0.30471111834049225,-127.71634006500244
10,0.8192160087719298,-126.57085800170898,0.3362642079591751,0.2838985361158848,-126.57085800170898
11,0.8012609649122807,-125.415846824646,0.3382793888449669,0.1868781791999936,-125.415846824646
12,0.7791940789473684,-124.21505355834961,0.3415774665772915,0.07895001862198114,-124.21505355834961
13,0.758360745614035,-123.19380950927734,0.3387441076338291,-0.01336264656856656,-123.19380950927734
14,0.7397203947368421,-122.1518144607544,0.3307097889482975,-0.1635093493387103,-122.1518144607544
15,0.7202576754385965,-120.67516994476318,0.3146826047450304,-0.2585355192422867,-120.67516994476318
16,0.6999725877192983,-120.02350521087646,0.32961617037653923,-0.1585481148213148,-120.02350521087646
17,0.6792763157894737,-118.66933059692383,0.343108169734478,-0.24894929770380259,-118.66933059692383
18,0.6599506578947367,-117.84617328643799,0.33839717507362366,-0.34109452180564404,-117.84617328643799
19,0.6382949561403509,-116.94669914245605,0.33229484409093857,-0.4060824103653431,-116.94669914245605
20,0.6149945175438596,-116.50888252258301,0.34637992829084396,-0.3538445383310318,-116.50888252258301
21,0.5947094298245613,-115.90552520751953,0.32607159949839115,-0.43946829438209534,-115.90552520751953
22,0.575109649122807,-115.3635835647583,0.32713228464126587,-0.4633302353322506,-115.3635835647583
23,0.5549616228070177,-114.96437740325928,0.31887280754745007,-0.44599173590540886,-114.96437740325928
24,0.5322094298245614,-114.4533805847168,0.3146553039550781,-0.42128224298357964,-114.4533805847168
25,0.5112390350877193,-113.97372722625732,0.3348642513155937,-0.3664685841649771,-113.97372722625732
26,0.4916392543859649,-113.69531345367432,0.3360842689871788,-0.3459554444998503,-113.69531345367432
27,0.4745065789473684,-113.12524509429932,0.3325662389397621,-0.3342992290854454,-113.12524509429932
28,0.4538103070175439,-112.75893592834473,0.32420241832733154,-0.335181150585413,-112.75893592834473
29,0.43229166666666663,-112.6250867843628,0.32189411111176014,-0.3092655874788761,-112.6250867843628
30,0.4114583333333333,-112.6007947921753,0.334381528198719,-0.27882071444764733,-112.6007947921753
31,0.38980263157894735,-112.41880130767822,0.33156174421310425,-0.2887749783694744,-112.41880130767822
32,0.37020285087719296,-112.39748859405518,0.3186892345547676,-0.302076933439821,-112.39748859405518
33,0.35005482456140347,-112.2004976272583,0.31033505871891975,-0.2903534481301904,-112.2004976272583
34,0.3304550438596491,-111.9734697341919,0.3091876469552517,-0.27730632293969393,-111.9734697341919
35,0.31016995614035087,-111.77024841308594,0.3360484503209591,-0.20902496576309204,-111.77024841308594
36,0.28851425438596495,-111.62472724914551,0.341673169285059,-0.17161491746082902,-111.62472724914551
37,0.2661732456140351,-111.48302459716797,0.34297650307416916,-0.17149910144507885,-111.48302459716797
38,0.248218201754386,-111.37033176422119,0.3435302898287773,-0.1675010733306408,-111.37033176422119
39,0.2265625,-110.87517547607422,0.3448978029191494,-0.13072234578430653,-110.87517547607422
40,0.20614035087719296,-110.85117530822754,0.33835097029805183,-0.1304368651472032,-110.85117530822754
41,0.18667763157894735,-110.67291450500488,0.3377160057425499,-0.12712926790118217,-110.67291450500488
42,0.1663925438596491,-110.56491565704346,0.33585740998387337,-0.12025985075160861,-110.56491565704346
43,0.14734100877192982,-110.38233280181885,0.3414139412343502,-0.10545288817957044,-110.38233280181885
44,0.12609649122807018,-110.41281127929688,0.3467451147735119,-0.10359314829111099,-110.41281127929688
45,0.10402960526315788,-110.39903545379639,0.3472556918859482,-0.08867616159841418,-110.39903545379639
46,0.08319627192982457,-110.28277111053467,0.35255657508969307,-0.08905336679890752,-110.28277111053467
47,0.06140350877192983,-110.11409854888916,0.3516147807240486,-0.08441850636154413,-110.11409854888916
48,0.03919956140350877,-109.94216632843018,0.35063478350639343,-0.09116344340145588,-109.94216632843018
49,0.01713267543859649,-109.82103824615479,0.34480518847703934,-0.10625625122338533,-109.82103824615479
