Iteration,Mask Proportion,Reward Average,DDG Train Average,DDG Eval Average,ProtGPT Average
1,1.0,-143.56893920898438,0.24166008830070496,0.6693868041038513,-143.56893920898438
2,0.9603892543859649,-126.32330131530762,0.21164199337363243,0.4289625845849514,-126.32330131530762
3,0.9287280701754386,-122.14460945129395,0.2538066431879997,0.6263965368270874,-122.14460945129395
4,0.8991228070175438,-120.2238245010376,0.28990713134407997,0.778285913169384,-120.2238245010376
5,0.8736293859649122,-118.82358169555664,0.29937955364584923,0.8216788545250893,-118.82358169555664
6,0.8482730263157895,-117.71438980102539,0.2832874469459057,0.7683273181319237,-117.71438980102539
7,0.8248355263157895,-116.75882720947266,0.2591216620057821,0.678923349827528,-116.75882720947266
8,0.8055098684210525,-116.02577018737793,0.23442224226891994,0.6558800265192986,-116.02577018737793
9,0.7871436403508772,-115.47491645812988,0.221676642075181,0.59714525192976,-115.47491645812988
10,0.769736842105263,-114.94174480438232,0.198669895529747,0.5415459834039211,-114.94174480438232
11,0.7526041666666666,-114.49455165863037,0.1757416818290949,0.4967992529273033,-114.49455165863037
12,0.7358826754385965,-113.9929256439209,0.17051543295383453,0.4980625659227371,-113.9929256439209
13,0.7221765350877193,-113.68730640411377,0.15404007397592068,0.47026247531175613,-113.68730640411377
14,0.7098410087719298,-113.43370819091797,0.13089157175272703,0.4163478594273329,-113.43370819091797
15,0.6973684210526315,-113.27596092224121,0.12574154138565063,0.4058475662022829,-113.27596092224121
16,0.6846217105263158,-113.08151721954346,0.1245794091373682,0.4144127396866679,-113.08151721954346
17,0.6733826754385966,-112.8819694519043,0.12620704621076584,0.4173607975244522,-112.8819694519043
18,0.6583059210526316,-112.67712783813477,0.12842075526714325,0.3959323726594448,-112.67712783813477
19,0.6447368421052633,-112.44342613220215,0.12115739472210407,0.38031733222305775,-112.44342613220215
20,0.6297971491228069,-112.26576232910156,0.11215520463883877,0.37771607004106045,-112.26576232910156
21,0.6163651315789473,-111.99087333679199,0.0967186710331589,0.3620562683790922,-111.99087333679199
22,0.6038925438596492,-111.78401947021484,0.08943057339638472,0.3543853363953531,-111.78401947021484
23,0.5921052631578947,-111.65813732147217,0.08344611944630742,0.31963529996573925,-111.65813732147217
24,0.5794956140350876,-111.50731182098389,0.07051678141579032,0.28244496835395694,-111.50731182098389
25,0.567297149122807,-111.37533283233643,0.05776491039432585,0.24606518354266882,-111.37533283233643
26,0.5537280701754386,-111.29182243347168,0.06157359015196562,0.25833854638040066,-111.29182243347168
27,0.5385142543859648,-111.16057968139648,0.05371518316678703,0.2569033885374665,-111.16057968139648
28,0.5253563596491229,-111.05502223968506,0.04825594066642225,0.24714211095124483,-111.05502223968506
29,0.5132949561403509,-110.95731830596924,0.03975077741779387,0.23706532455980778,-110.95731830596924
30,0.5015076754385965,-110.79765605926514,0.03159725316800177,0.21335997432470322,-110.79765605926514
31,0.48793859649122806,-110.73245239257812,0.02599108056165278,0.1831285823136568,-110.73245239257812
32,0.4739583333333333,-110.62251949310303,0.022012432804331183,0.2099745124578476,-110.62251949310303
33,0.45860745614035087,-110.54934597015381,0.01938582630828023,0.20816598273813725,-110.54934597015381
34,0.4440789473684211,-110.4299669265747,0.016734645701944828,0.2083321139216423,-110.4299669265747
35,0.4254385964912281,-110.33455848693848,0.008607600117102265,0.2031871541403234,-110.33455848693848
36,0.4087171052631578,-110.26885890960693,0.0061651167925447226,0.19379126140847802,-110.26885890960693
37,0.3933662280701754,-110.22315120697021,0.0056743735913187265,0.19640605198219419,-110.22315120697021
38,0.37801535087719296,-110.22288417816162,0.009806680725887418,0.19627663725987077,-110.22288417816162
39,0.3606085526315789,-110.1251974105835,0.008969259448349476,0.20040656346827745,-110.1251974105835
40,0.34141995614035087,-110.06390571594238,0.0084603619761765,0.22885291744023561,-110.06390571594238
41,0.32510964912280704,-110.00812911987305,0.00888778967782855,0.2546885395422578,-110.00812911987305
42,0.30249451754385964,-109.97513008117676,0.0077217197977006435,0.2534091081470251,-109.97513008117676
43,0.27563048245614036,-109.87151145935059,0.007148407166823745,0.25902476347982883,-109.87151145935059
44,0.24739583333333331,-109.81391716003418,0.0030925520695745945,0.2636337708681822,-109.81391716003418
45,0.21518640350877194,-109.75046634674072,0.0038956869393587112,0.272046597674489,-109.75046634674072
46,0.1835252192982456,-109.70180034637451,-0.0020486735738813877,0.24960778281092644,-109.70180034637451
47,0.14473684210526316,-109.65517139434814,-0.0004967779386788607,0.256509555503726,-109.65517139434814
48,0.1034813596491228,-109.54422569274902,0.00562204048037529,0.25683406740427017,-109.54422569274902
49,0.049342105263157895,-109.47299098968506,0.005170552991330624,0.26490524038672447,-109.47299098968506
